zip,primary_city,state,county,latitude,longitude
52773,Walcott,IA,Scott County,41.59,-90.77
52774,Welton,IA,Clinton County,41.91,-90.6
52776,West Liberty,IA,Muscatine County,41.57,-91.26
52777,Wheatland,IA,Clinton County,41.83,-90.83
52778,Wilton,IA,Muscatine County,41.58,-91.02
52801,Davenport,IA,Scott County,41.52,-90.57
52802,Davenport,IA,Scott County,41.49,-90.64
52803,Davenport,IA,Scott County,41.54,-90.56
52804,Davenport,IA,Scott County,41.55,-90.6
52805,Davenport,IA,Scott County,41.55,-90.6
52806,Davenport,IA,Scott County,41.59,-90.63
52807,Davenport,IA,Scott County,41.61,-90.52
52808,Davenport,IA,Scott County,41.55,-90.6
52809,Davenport,IA,Scott County,41.55,-90.6
53001,Adell,WI,Sheboygan County,43.61,-88.06
53002,Allenton,WI,Washington County,43.47,-88.35
53003,Ashippun,WI,Dodge County,43.21,-88.51
53004,Belgium,WI,Ozaukee County,43.5,-87.85
53005,Brookfield,WI,Waukesha County,43.06,-88.11
53006,Brownsville,WI,Dodge County,43.61,-88.49
53007,Butler,WI,Waukesha County,43.1,-88.07
53008,Brookfield,WI,Waukesha County,43.06,-88.11
53010,Campbellsport,WI,Fond du Lac County,43.59,-88.28
53011,Cascade,WI,Sheboygan County,43.65,-88
53012,Cedarburg,WI,Ozaukee County,43.29,-87.98
53013,Cedar Grove,WI,Sheboygan County,43.56,-87.82
53014,Chilton,WI,Calumet County,44.02,-88.16
53015,Cleveland,WI,Manitowoc County,43.91,-87.75
53016,Clyman,WI,Dodge County,43.31,-88.71
53017,Colgate,WI,Washington County,43.2,-88.25
53018,Delafield,WI,Waukesha County,43.06,-88.39
53019,Eden,WI,Fond du Lac County,43.69,-88.36
53020,Elkhart Lake,WI,Sheboygan County,43.83,-88.01
53021,Fredonia,WI,Ozaukee County,43.46,-87.95
53022,Germantown,WI,Washington County,43.23,-88.12
53023,Glenbeulah,WI,Sheboygan County,43.78,-88.11
53024,Grafton,WI,Ozaukee County,43.31,-87.95
53026,Greenbush,WI,Sheboygan County,43.77,-88.1
53027,Hartford,WI,Washington County,43.32,-88.38
53029,Hartland,WI,Waukesha County,43.09,-88.34
53031,Hingham,WI,Sheboygan County,43.64,-87.92
53032,Horicon,WI,Dodge County,43.44,-88.63
53033,Hubertus,WI,Washington County,43.23,-88.24
53034,Hustisford,WI,Dodge County,43.34,-88.6
53035,Iron Ridge,WI,Dodge County,43.39,-88.53
53036,Ixonia,WI,Jefferson County,43.18,-88.58
53037,Jackson,WI,Washington County,43.32,-88.16
53038,Johnson Creek,WI,Jefferson County,43.07,-88.77
53039,Juneau,WI,Dodge County,43.4,-88.7
53040,Kewaskum,WI,Washington County,43.52,-88.23
53042,Kiel,WI,Manitowoc County,43.91,-88.03
53044,Kohler,WI,Sheboygan County,43.73,-87.77
53045,Brookfield,WI,Waukesha County,43.06,-88.15
53046,Lannon,WI,Waukesha County,43.15,-88.16
53047,Lebanon,WI,Dodge County,43.26,-88.63
53048,Lomira,WI,Dodge County,43.58,-88.44
53049,Malone,WI,Fond du Lac County,43.88,-88.28
53050,Mayville,WI,Dodge County,43.49,-88.54
53051,Menomonee Falls,WI,Waukesha County,43.14,-88.12
53052,Menomonee Falls,WI,Waukesha County,43.14,-88.12
53056,Merton,WI,Waukesha County,43.14,-88.31
53057,Mount Calvary,WI,Fond du Lac County,43.82,-88.24
53058,Nashotah,WI,Waukesha County,43.09,-88.4
53059,Neosho,WI,Dodge County,43.3,-88.51
53060,Newburg,WI,Washington County,43.43,-88.04
53061,New Holstein,WI,Calumet County,43.94,-88.09
53062,New Holstein,WI,Calumet County,43.94,-88.09
53063,Newton,WI,Manitowoc County,43.99,-87.73
53064,North Lake,WI,Waukesha County,43.14,-88.24
53065,Oakfield,WI,Fond du Lac County,43.68,-88.54
53066,Oconomowoc,WI,Waukesha County,43.1,-88.49
53069,Okauchee,WI,Waukesha County,43.11,-88.43
53070,Oostburg,WI,Sheboygan County,43.62,-87.79
53072,Pewaukee,WI,Waukesha County,43.08,-88.25
53073,Plymouth,WI,Sheboygan County,43.74,-87.97
53074,Port Washington,WI,Ozaukee County,43.39,-87.87
53075,Random Lake,WI,Sheboygan County,43.55,-87.95
53076,Richfield,WI,Washington County,43.27,-88.21
53078,Rubicon,WI,Dodge County,43.31,-88.45
53079,Saint Cloud,WI,Fond du Lac County,43.82,-88.16
53080,Saukville,WI,Ozaukee County,43.38,-87.94
53081,Sheboygan,WI,Sheboygan County,43.7,-87.74
53082,Sheboygan,WI,Sheboygan County,43.75,-87.71
53083,Sheboygan,WI,Sheboygan County,43.82,-87.75
53085,Sheboygan Falls,WI,Sheboygan County,43.72,-87.82
53086,Slinger,WI,Washington County,43.33,-88.28
53088,Stockbridge,WI,Calumet County,44.07,-88.31
53089,Sussex,WI,Waukesha County,43.13,-88.21
53090,West Bend,WI,Washington County,43.46,-88.19
53091,Theresa,WI,Dodge County,43.51,-88.45
53092,Thiensville,WI,Ozaukee County,43.23,-87.97
53093,Waldo,WI,Sheboygan County,43.67,-87.94
53094,Watertown,WI,Jefferson County,43.19,-88.72
53095,West Bend,WI,Washington County,43.42,-88.18
53097,Mequon,WI,Ozaukee County,43.24,-88.01
53098,Watertown,WI,Dodge County,43.25,-88.71
53099,Woodland,WI,Dodge County,43.41,-88.45
53101,Bassett,WI,Kenosha County,42.52,-88.24
53102,Benet Lake,WI,Kenosha County,42.54,-88.02
53103,Big Bend,WI,Waukesha County,42.88,-88.2
53104,Bristol,WI,Kenosha County,42.54,-88.02
53105,Burlington,WI,Racine County,42.67,-88.27
53108,Caledonia,WI,Racine County,42.82,-87.93
53109,Camp Lake,WI,Kenosha County,42.53,-88.14
53110,Cudahy,WI,Milwaukee County,42.94,-87.86
53114,Darien,WI,Walworth County,42.6,-88.71
53115,Delavan,WI,Walworth County,42.62,-88.63
53118,Dousman,WI,Waukesha County,43.01,-88.47
53119,Eagle,WI,Waukesha County,42.87,-88.47
53120,East Troy,WI,Walworth County,42.78,-88.39
53121,Elkhorn,WI,Walworth County,42.67,-88.54
53122,Elm Grove,WI,Waukesha County,43.04,-88.08
53125,Fontana,WI,Walworth County,42.54,-88.55
53126,Franksville,WI,Racine County,42.79,-87.99
53127,Genesee Depot,WI,Waukesha County,42.88,-88.36
53128,Genoa City,WI,Walworth County,42.5,-88.32
53129,Greendale,WI,Milwaukee County,42.93,-88
53130,Hales Corners,WI,Milwaukee County,42.94,-88.04
53132,Franklin,WI,Milwaukee County,42.88,-88
53137,Helenville,WI,Jefferson County,43.01,-88.71
53138,Honey Creek,WI,Walworth County,42.71,-88.36
53139,Kansasville,WI,Racine County,42.7,-88.12
53140,Kenosha,WI,Kenosha County,42.62,-87.83
53141,Kenosha,WI,Kenosha County,42.58,-87.85
53142,Kenosha,WI,Kenosha County,42.58,-87.85
53143,Kenosha,WI,Kenosha County,42.56,-87.83
53144,Kenosha,WI,Kenosha County,42.62,-87.92
53146,New Berlin,WI,Waukesha County,42.97,-88.16
53147,Lake Geneva,WI,Walworth County,42.58,-88.42
53148,Lyons,WI,Walworth County,42.65,-88.32
53149,Mukwonago,WI,Waukesha County,42.86,-88.33
53150,Muskego,WI,Waukesha County,42.89,-88.12
53151,New Berlin,WI,Waukesha County,42.97,-88.12
53152,New Munster,WI,Kenosha County,42.58,-88.24
53153,North Prairie,WI,Waukesha County,42.93,-88.39
53154,Oak Creek,WI,Milwaukee County,42.88,-87.89
53156,Palmyra,WI,Jefferson County,42.87,-88.58
53157,Pell Lake,WI,Walworth County,42.54,-88.35
53158,Pleasant Prairie,WI,Kenosha County,42.52,-87.88
53159,Powers Lake,WI,Kenosha County,42.54,-88.3
53167,Rochester,WI,Racine County,42.74,-88.23
53168,Salem,WI,Kenosha County,42.6,-88.12
53170,Silver Lake,WI,Kenosha County,42.55,-88.16
53171,Somers,WI,Kenosha County,42.58,-87.89
53172,South Milwaukee,WI,Milwaukee County,42.91,-87.86
53176,Springfield,WI,Walworth County,42.64,-88.41
53177,Sturtevant,WI,Racine County,42.7,-87.89
53178,Sullivan,WI,Jefferson County,43.01,-88.58
53179,Trevor,WI,Kenosha County,42.51,-88.13
53181,Twin Lakes,WI,Kenosha County,42.51,-88.25
53182,Union Grove,WI,Racine County,42.68,-88.05
53183,Wales,WI,Waukesha County,43,-88.37
53184,Walworth,WI,Walworth County,42.53,-88.59
53185,Waterford,WI,Racine County,42.76,-88.21
53186,Waukesha,WI,Waukesha County,43.01,-88.23
53187,Waukesha,WI,Waukesha County,43.01,-88.23
53188,Waukesha,WI,Waukesha County,43.02,-88.29
53189,Waukesha,WI,Waukesha County,42.94,-88.29
53190,Whitewater,WI,Walworth County,42.83,-88.73
53191,Williams Bay,WI,Walworth County,42.57,-88.54
53192,Wilmot,WI,Kenosha County,42.5,-88.18
53194,Woodworth,WI,Kenosha County,42.53,-88.01
53195,Zenda,WI,Walworth County,42.51,-88.49
53199,Silver Lake,WI,Kenosha County,42.55,-88.17
53201,Milwaukee,WI,Milwaukee County,43.06,-87.96
53202,Milwaukee,WI,Milwaukee County,43.05,-87.89
53203,Milwaukee,WI,Milwaukee County,43.04,-87.92
53204,Milwaukee,WI,Milwaukee County,43.02,-87.93
53205,Milwaukee,WI,Milwaukee County,43.05,-87.93
53206,Milwaukee,WI,Milwaukee County,43.08,-87.93
53207,Milwaukee,WI,Milwaukee County,42.98,-87.9
53208,Milwaukee,WI,Milwaukee County,43.06,-87.96
53209,Milwaukee,WI,Milwaukee County,43.13,-87.95
53210,Milwaukee,WI,Milwaukee County,43.07,-87.97
53211,Milwaukee,WI,Milwaukee County,43.08,-87.88
53212,Milwaukee,WI,Milwaukee County,43.07,-87.91
53213,Milwaukee,WI,Milwaukee County,43.05,-88
53214,Milwaukee,WI,Milwaukee County,43.02,-88.01
53215,Milwaukee,WI,Milwaukee County,43,-87.94
53216,Milwaukee,WI,Milwaukee County,43.09,-87.98
53217,Milwaukee,WI,Milwaukee County,43.16,-87.91
53218,Milwaukee,WI,Milwaukee County,43.11,-87.99
53219,Milwaukee,WI,Milwaukee County,43,-87.99
53220,Milwaukee,WI,Milwaukee County,42.97,-87.99
53221,Milwaukee,WI,Milwaukee County,42.95,-87.94
53222,Milwaukee,WI,Milwaukee County,43.08,-88.04
53223,Milwaukee,WI,Milwaukee County,43.16,-87.99
53224,Milwaukee,WI,Milwaukee County,43.16,-88.04
53225,Milwaukee,WI,Milwaukee County,43.12,-88.04
53226,Milwaukee,WI,Milwaukee County,43.05,-88.04
53227,Milwaukee,WI,Milwaukee County,43,-88.04
53228,Milwaukee,WI,Milwaukee County,42.97,-88.04
53233,Milwaukee,WI,Milwaukee County,43.04,-87.93
53234,Milwaukee,WI,Milwaukee County,43.06,-87.96
53235,Saint Francis,WI,Milwaukee County,42.97,-87.87
53237,Milwaukee,WI,Milwaukee County,43.06,-87.96
53244,Milwaukee,WI,Milwaukee County,42.94,-87.91
53259,Milwaukee,WI,Milwaukee County,43.06,-87.96
53263,Milwaukee,WI,Milwaukee County,43.06,-87.96
53267,Milwaukee,WI,Milwaukee County,43.06,-87.96
53268,Milwaukee,WI,Milwaukee County,43.06,-87.96
53274,Milwaukee,WI,Milwaukee County,43.06,-87.96
53278,Milwaukee,WI,Milwaukee County,43.06,-87.96
53288,Milwaukee,WI,Milwaukee County,43.06,-87.96
53290,Milwaukee,WI,Milwaukee County,43.06,-87.96
53293,Milwaukee,WI,Milwaukee County,43.06,-87.96
53295,Milwaukee,WI,Milwaukee County,43.02,-87.98
53401,Racine,WI,Racine County,42.72,-87.8
53402,Racine,WI,Racine County,42.8,-87.82
53403,Racine,WI,Racine County,42.72,-87.8
53404,Racine,WI,Racine County,42.75,-87.81
53405,Racine,WI,Racine County,42.73,-87.83
53406,Racine,WI,Racine County,42.73,-87.86
53407,Racine,WI,Racine County,42.72,-87.8
53408,Racine,WI,Racine County,42.72,-87.8
53501,Afton,WI,Rock County,42.61,-89.07
53502,Albany,WI,Green County,42.7,-89.43
53503,Arena,WI,Iowa County,43.16,-89.91
53504,Argyle,WI,Lafayette County,42.7,-89.86
53505,Avalon,WI,Rock County,42.65,-88.83
53506,Avoca,WI,Iowa County,43.18,-90.32
53507,Barneveld,WI,Iowa County,43.01,-89.89
53508,Belleville,WI,Dane County,42.86,-89.53
53510,Belmont,WI,Lafayette County,42.73,-90.33
53511,Beloit,WI,Rock County,42.52,-89.02
53512,Beloit,WI,Rock County,42.52,-89.02
53515,Black Earth,WI,Dane County,43.13,-89.74
53516,Blanchardville,WI,Lafayette County,42.8,-89.86
53517,Blue Mounds,WI,Dane County,43.02,-89.82
