zipcode,centile,superzip,rank,adultpop,households,college,income,primary_city,state,county,latitude,longitude
23836,0.8492613865746313,0,3791,10009,4810,37.1,80487,Chester,VA,Chesterfield County,37.35,-77.35
20676,0.8492553182397674,0,3792,3140,1382,29.3,111250,Port Republic,MD,Calvert County,38.49,-76.54
94505,0.8492014107387489,0,3793,11926,5358,29,114886,Discovery Bay,CA,Contra Costa County,37.87,-121.6
01469,0.8491873349433554,0,3794,5642,2683,34.9,84489,Townsend,MA,Middlesex County,42.66,-71.7
15108,0.8491741323215762,0,3795,34183,17175,44.9,72337,Coraopolis,PA,Allegheny County,40.51,-80.16
32605,0.8491671587655826,0,3796,19624,10013,54.7,66881,Gainesville,FL,Alachua County,29.68,-82.37
44087,0.8491484518465493,0,3797,15390,8315,44.5,72602,Twinsburg,OH,Summit County,41.32,-81.45
19971,0.8490623335573542,0,3798,11836,6569,49.8,69018,Rehoboth Beach,DE,Sussex County,38.7,-75.09
21132,0.8490359154945695,0,3799,2336,898,29.4,109219,Pylesville,MD,Harford County,39.68,-76.37
18074,0.8490260596274779,0,3800,4714,2324,35,84158,Perkiomenville,PA,Montgomery County,40.32,-75.51
08098,0.849015142245482,0,3801,7431,3301,34.6,85218,Woodstown,NJ,Salem County,39.65,-75.32
68123,0.8489985716682971,0,3802,22640,11520,42.2,74267,Bellevue,NE,Sarpy County,41.1,-95.94
55116,0.8489654955951595,0,3803,19313,11216,59.7,65518,Saint Paul,MN,Ramsey County,44.91,-93.17
67223,0.8488984401996635,0,3804,478,214,33.5,88125,Wichita,KS,Sedgwick County,37.74,-97.5
24503,0.8488916934420639,0,3805,15091,7580,53.9,67172,Lynchburg,VA,Lynchburg city,37.45,-79.25
47036,0.8488458264353279,0,3806,775,338,42.1,74375,Oldenburg,IN,Franklin County,39.39,-85.25
03044,0.8488312107611682,0,3807,3642,1700,32.5,91486,Fremont,NH,Rockingham County,42.99,-71.14
94560,0.8487893048368249,0,3808,35760,13395,31.3,96817,Newark,CA,Alameda County,37.51,-122.04
10307,0.8487512737129197,0,3809,11415,5156,36.5,81356,Staten Island,NY,Richmond County,40.51,-74.24
38103,0.8487156417210917,0,3810,12910,7045,64.6,64338,Memphis,TN,Shelby County,35.15,-90.05
04086,0.8487111220244952,0,3811,7191,3734,42.6,73937,Topsham,ME,Sagadahoc County,43.93,-69.94
93611,0.8487030100393665,0,3812,35589,15694,35,84028,Clovis,CA,Fresno County,36.83,-119.68
96822,0.848667817346052,0,3813,40158,18478,49.3,69223,Honolulu,HI,Honolulu County,21.32,-157.81
84097,0.8486587843624547,0,3814,15152,6306,44.7,72349,Orem,UT,Utah County,40.29,-111.67
77356,0.8486237311993496,0,3815,20989,10996,39.2,77444,Montgomery,TX,Montgomery County,30.39,-95.69
40515,0.8485379393025736,0,3816,27793,14390,50.3,68708,Lexington,KY,Fayette County,37.92,-84.39
18066,0.8485077006738229,0,3817,5068,2369,34.1,86221,New Tripoli,PA,Lehigh County,40.65,-75.74
34238,0.8484872922742668,0,3818,16923,9779,51.6,68070,Sarasota,FL,Sarasota County,27.24,-82.47
20695,0.8484472337702563,0,3819,6124,2784,30.4,101310,White Plains,MD,Charles County,38.59,-76.97
23832,0.848412015931888,0,3820,26795,11684,34.9,84134,Chesterfield,VA,Chesterfield County,37.39,-77.59
93066,0.8483628061148,0,3821,2651,1097,32.2,92417,Somis,CA,Ventura County,34.29,-119.03
18411,0.8483579955247829,0,3822,17033,8617,44.6,72366,Clarks Summit,PA,Lackawanna County,41.48,-75.7
46256,0.8482785056637039,0,3823,18617,10271,55.4,66488,Indianapolis,IN,Marion County,39.91,-86.01
06614,0.8481764089381032,0,3824,28193,12906,36.2,81576,Stratford,CT,Fairfield County,41.2,-73.13
12590,0.8481703696926437,0,3825,27635,12583,34.8,84295,Wappingers Falls,NY,Dutchess County,41.59,-73.91
05043,0.84812973088086,0,3826,720,424,53.8,67083,East Thetford,VT,Orange County,43.81,-72.19
02771,0.8481200411680894,0,3827,11976,5886,34.1,86014,Seekonk,MA,Bristol County,41.81,-71.33
30517,0.848114362827838,0,3828,9877,4292,35.8,82371,Braselton,GA,Jackson County,34.13,-83.8
92078,0.8480455753833682,0,3829,36502,17306,42.2,74094,San Marcos,CA,San Diego County,33.11,-117.16
45315,0.8480217063368294,0,3830,3285,1650,37.4,79688,Clayton,OH,Montgomery County,39.86,-84.35
22485,0.8479803856508121,0,3831,18598,8811,34.2,85685,King George,VA,King George County,38.26,-77.18
07828,0.8479675878147552,0,3832,11364,5838,39.1,77375,Budd Lake,NJ,Morris County,40.87,-74.73
94954,0.8479629857805151,0,3833,29834,13694,33.7,86953,Petaluma,CA,Sonoma County,38.23,-122.56
89179,0.8479157757331899,0,3834,4346,1961,34.2,85647,Las Vegas,NV,Clark County,35.99,-115.25
50143,0.8478883489109142,0,3835,542,245,33.3,88207,Leighton,IA,Mahaska County,41.33,-92.78
12017,0.8478820720202803,0,3836,314,167,40.5,75809,Austerlitz,NY,Columbia County,42.32,-73.47
95677,0.8478752286267702,0,3837,19057,9040,36.4,81223,Rocklin,CA,Placer County,38.8,-121.24
63128,0.8478739161546393,0,3838,24915,12707,41,75231,Saint Louis,MO,St. Louis County,38.49,-90.39
53149,0.8478660709040816,0,3839,14977,7428,33.7,86899,Mukwonago,WI,Waukesha County,42.86,-88.33
04642,0.8477083573082745,0,3840,76,42,33.8,86563,Harborside,ME,Hancock County,44.33,-68.81
29909,0.8477028885100211,0,3841,17317,8999,48.4,69534,Okatie,SC,Beaufort County,32.3,-80.92
17538,0.847647604934691,0,3842,4845,2397,42.5,73789,Landisville,PA,Lancaster County,40.09,-76.41
61615,0.8476200612619922,0,3843,17667,10014,49.6,68789,Peoria,IL,Peoria County,40.74,-89.69
97217,0.8475510509634634,0,3844,28346,14520,47.6,70027,Portland,OR,Multnomah County,45.58,-122.7
95488,0.8474536410750053,0,3845,175,96,52.6,67500,Westport,CA,Mendocino County,39.68,-123.74
17601,0.8474373041986651,0,3846,40739,20473,44.6,72127,Lancaster,PA,Lancaster County,40.07,-76.31
07882,0.8474118229116918,0,3847,11707,5655,32.6,90304,Washington,NJ,Warren County,40.75,-74.98
15215,0.8474090638606129,0,3848,9810,5367,49.5,68797,Pittsburgh,PA,Allegheny County,40.5,-79.91
01862,0.8473734614510263,0,3849,8791,3417,31.7,93494,North Billerica,MA,Middlesex County,42.58,-71.3
98042,0.8472928410494805,0,3850,36249,16408,31.4,94770,Kent,WA,King County,47.36,-122.1
58486,0.8472663855158031,0,3851,188,105,36.6,80625,Sykeston,ND,Wells County,47.46,-99.39
02379,0.8472212191187505,0,3852,5567,2469,34.2,85368,West Bridgewater,MA,Plymouth County,42.01,-71
47639,0.8472159628206115,0,3853,2925,1508,32.5,90511,Haubstadt,IN,Gibson County,38.2,-87.57
11956,0.8471940097271389,0,3854,222,127,54.9,66477,New Suffolk,NY,Suffolk County,40.99,-72.48
77077,0.8471632361501846,0,3855,45706,26614,54.6,66587,Houston,TX,Harris County,29.75,-95.62
51542,0.8471112968642536,0,3856,819,375,30.2,101438,Honey Creek,IA,Pottawattamie County,41.43,-95.85
84317,0.8470912281691858,0,3857,1644,752,44.8,71848,Huntsville,UT,Weber County,41.28,-111.69
45230,0.8470525694054944,0,3858,20372,11592,49.3,68843,Cincinnati,OH,Hamilton County,39.07,-84.39
22191,0.847037825047916,0,3859,50125,21933,34.1,85569,Woodbridge,VA,Prince William County,38.63,-77.26
20735,0.847025742612656,0,3860,30105,12315,29.6,104925,Clinton,MD,Prince George's County,38.76,-76.89
63034,0.847020252613684,0,3861,14419,6662,37.4,79340,Florissant,MO,St. Louis County,38.85,-90.29
04355,0.8469942920920256,0,3862,2123,1060,41.4,74559,Readfield,ME,Kennebec County,44.38,-69.96
21798,0.8468283205712709,0,3863,1450,747,32.2,91458,Woodsboro,MD,Frederick County,39.53,-77.31
35124,0.8468003721128572,0,3864,18850,9329,40.3,75730,Pelham,AL,Shelby County,33.3,-86.79
13740,0.8467768506594655,0,3865,457,230,44,72500,Bovina Center,NY,Delaware County,42.26,-74.78
21645,0.8467388422153426,0,3866,1002,411,39.5,76615,Kennedyville,MD,Kent County,39.3,-75.98
12494,0.8466786272552296,0,3867,504,322,56.5,65913,West Shokan,NY,Ulster County,41.96,-74.28
79121,0.8466167842773591,0,3868,5746,2859,42.1,73885,Amarillo,TX,Randall County,35.17,-101.93
21236,0.8466063446509928,0,3869,30640,15402,38.6,77532,Nottingham,MD,Baltimore County,39.39,-76.48
53590,0.8465131931479601,0,3870,28496,15350,44.1,72317,Sun Prairie,WI,Dane County,43.18,-89.23
22901,0.8463275098930045,0,3871,27172,14596,54.3,66536,Charlottesville,VA,Albemarle County,38.09,-78.56
89141,0.8462869391205843,0,3872,22796,10056,33.8,85924,Las Vegas,NV,Clark County,35.97,-115.21
32311,0.8462599234936374,0,3873,16278,8041,50.6,68076,Tallahassee,FL,Leon County,30.38,-84.17
03444,0.8462484859545603,0,3874,1203,580,45.3,71250,Dublin,NH,Cheshire County,42.91,-72.06
50265,0.8462337785750422,0,3875,24194,13268,48.3,69299,West Des Moines,IA,Polk County,41.57,-93.75
01354,0.8461360980076803,0,3876,1419,583,48.4,69226,Gill,MA,Franklin County,42.62,-72.51
76001,0.8460860588974854,0,3877,22726,9851,34.9,83192,Arlington,TX,Tarrant County,32.64,-97.15
94937,0.8460852227019209,0,3878,702,410,54.3,66500,Inverness,CA,Marin County,38.11,-122.92
21673,0.8460000653473825,0,3879,2621,1316,38.3,77778,Trappe,MD,Talbot County,38.65,-76.05
60108,0.8459961639228317,0,3880,18822,8924,37.3,79126,Bloomingdale,IL,DuPage County,41.94,-88.08
61873,0.8459947705921231,0,3881,4838,2454,34.3,84557,Saint Joseph,IL,Champaign County,40.14,-88.06
06016,0.8459872039091407,0,3882,5351,2698,35.6,81923,Broad Brook,CT,Hartford County,41.9,-72.54
43571,0.8458492217692031,0,3883,5680,2704,35.3,82432,Whitehouse,OH,Lucas County,41.51,-83.8
03873,0.8458431573786758,0,3884,4728,2210,29.9,102358,Sandown,NH,Rockingham County,42.92,-71.18
53132,0.8458285865712576,0,3885,28138,13358,39.3,76548,Franklin,WI,Milwaukee County,42.88,-88
20646,0.8458165347044514,0,3886,15887,6954,30.5,98737,La Plata,MD,Charles County,38.53,-76.97
91316,0.8457808509434526,0,3887,24789,12442,49.2,68720,Encino,CA,Los Angeles County,34.15,-118.52
12547,0.8457603592200496,0,3888,2166,1004,37.4,78963,Milton,NY,Ulster County,41.65,-73.96
94956,0.8457589856110066,0,3889,1109,652,54.7,66289,Point Reyes Station,CA,Marin County,38.05,-122.86
12549,0.8457461044510979,0,3890,8837,3867,32.2,90792,Montgomery,NY,Orange County,41.52,-74.23
97089,0.8457299519716923,0,3891,10169,4531,32.2,90784,Damascus,OR,Clackamas County,45.42,-122.45
07847,0.8457286276665522,0,3892,1199,571,29,108836,Kenvil,NJ,Morris County,40.88,-74.62
55043,0.845616944273704,0,3893,2904,1456,36.1,80859,Lakeland,MN,Washington County,44.95,-92.77
07727,0.8455970017967784,0,3894,5829,2713,38.7,77128,Farmingdale,NJ,Monmouth County,40.19,-74.17
03766,0.8455923120015096,0,3895,7430,4226,51.5,67597,Lebanon,NH,Grafton County,43.63,-72.25
16059,0.845550720636591,0,3896,6186,3180,42.1,73682,Valencia,PA,Butler County,40.71,-79.93
96754,0.8454884171594794,0,3897,2385,996,34.9,83000,Kilauea,HI,Kauai County,22.21,-159.41
22041,0.8454582618545778,0,3898,21675,10663,46.1,70515,Falls Church,VA,Fairfax County,38.84,-77.14
39211,0.8454449478057658,0,3899,19107,10080,55.7,65945,Jackson,MS,Hinds County,32.37,-90.12
12571,0.845282129275035,0,3900,7881,3991,41.4,74142,Red Hook,NY,Dutchess County,41.99,-73.87
58016,0.8452712597178857,0,3901,101,56,36,80909,Clifford,ND,Traill County,47.34,-97.4
97817,0.8452487519545373,0,3902,18,9,61.1,64583,Bates,OR,Grant County,44.7,-118.79
63303,0.8451868877759413,0,3903,37854,19490,40.8,74696,Saint Charles,MO,St. Charles County,38.74,-90.54
65810,0.8451024468084185,0,3904,17839,9257,49.2,68597,Springfield,MO,Greene County,37.12,-93.31
95005,0.8450956167269728,0,3905,5915,2708,39.4,76250,Ben Lomond,CA,Santa Cruz County,37.1,-122.08
12473,0.8450856627449029,0,3906,897,418,40.4,75125,Round Top,NY,Greene County,42.27,-74.06
74008,0.8450432578642053,0,3907,19277,9581,38.2,77598,Bixby,OK,Tulsa County,35.94,-95.87
14085,0.8450234149813056,0,3908,5350,2561,35.2,82351,Lake View,NY,Erie County,42.71,-78.93
29229,0.8450021984893672,0,3909,33919,16854,45.4,70887,Columbia,SC,Richland County,34.14,-80.89
10552,0.8449987748204475,0,3910,17235,8390,41,74386,Mount Vernon,NY,Westchester County,40.92,-73.83
22939,0.8449755334136886,0,3911,4685,2142,40,75521,Fishersville,VA,Augusta County,38.09,-78.96
81523,0.8449388201853008,0,3912,1071,527,33,87519,Glade Park,CO,Mesa County,39,-108.73
12525,0.8448943795429997,0,3913,2412,1132,40.3,75167,Gardiner,NY,Ulster County,41.68,-74.18
61874,0.8448850093201892,0,3914,6556,3386,60.6,64615,Savoy,IL,Champaign County,40.06,-88.25
55360,0.8448628111857188,0,3915,2038,928,32.1,90667,Mayer,MN,Carver County,44.88,-93.88
90755,0.8447425419964418,0,3916,9085,4391,39.7,75828,Signal Hill,CA,Los Angeles County,33.8,-118.16
01036,0.8447140788043317,0,3917,4235,1976,35.7,81304,Hampden,MA,Hampden County,42.06,-72.41
33306,0.8447134536298245,0,3918,2982,1707,52.1,67180,Fort Lauderdale,FL,Broward County,26.17,-80.11
74843,0.8447009797209142,0,3919,266,132,42.7,73000,Fitzhugh,OK,Pontotoc County,34.66,-96.77
07419,0.8446393862212163,0,3920,6933,3712,33.8,85225,Hamburg,NJ,Sussex County,41.14,-74.57
03269,0.8446357421635132,0,3921,2399,1118,38.6,77000,Sanbornton,NH,Belknap County,43.52,-71.6
03450,0.8446162892752128,0,3922,817,437,51.8,67266,Harrisville,NH,Cheshire County,42.95,-72.1
02833,0.8446147036589025,0,3923,824,385,34,84770,Hopkinton,RI,Washington County,41.48,-71.77
49426,0.844524829884977,0,3924,24965,11907,38.8,76685,Hudsonville,MI,Ottawa County,42.86,-85.86
12198,0.8445199093469846,0,3925,6262,2976,34.8,82864,Wynantskill,NY,Rensselaer County,42.68,-73.63
33572,0.8444681608676038,0,3926,14225,7048,37.4,78617,Apollo Beach,FL,Hillsborough County,27.78,-82.39
78757,0.8444671442194336,0,3927,19416,10746,56,65709,Austin,TX,Travis County,30.35,-97.73
14086,0.8444558540992338,0,3928,25231,12914,36.6,79596,Lancaster,NY,Erie County,42.9,-78.66
03281,0.8444216011398413,0,3929,6772,3211,32.2,90024,Weare,NH,Hillsborough County,43.1,-71.73
03242,0.8444088323931784,0,3930,3823,1666,47.2,69609,Henniker,NH,Merrimack County,43.17,-71.81
68347,0.8443860781097758,0,3931,1883,946,35.5,81526,Eagle,NE,Cass County,40.81,-96.43
84103,0.8443854051104178,0,3932,19109,10375,62.3,64163,Salt Lake City,UT,Salt Lake County,40.79,-111.82
80435,0.8443805802221289,0,3933,5528,2147,39.5,75924,Dillon,CO,Summit County,39.62,-106.03
19518,0.8443576149176651,0,3934,11609,5574,32.4,89036,Douglassville,PA,Berks County,40.26,-75.74
02882,0.8443567308972533,0,3935,12266,6025,57.1,65385,Narragansett,RI,Washington County,41.39,-71.48
48042,0.8443478547002581,0,3936,21448,10115,31.8,91393,Macomb,MI,Macomb County,42.68,-82.91
05474,0.8443103437334353,0,3937,786,423,40.4,74922,North Hero,VT,Grand Isle County,44.82,-73.28
35802,0.8442531358235226,0,3938,17864,10180,53.8,66399,Huntsville,AL,Madison County,34.67,-86.56
95628,0.844148728713078,0,3939,33143,16241,39.3,76063,Fair Oaks,CA,Sacramento County,38.65,-121.25
05403,0.8440765984582572,0,3940,15411,8605,54,66258,South Burlington,VT,Chittenden County,44.44,-73.21
21158,0.8439780595083922,0,3941,15622,7496,33.1,86663,Westminster,MD,Carroll County,39.65,-77.04
12812,0.8439730339529814,0,3942,49,37,44.9,71042,Blue Mountain Lake,NY,Hamilton County,43.87,-74.44
55112,0.8439593935117518,0,3943,35384,17303,45.9,70311,Saint Paul,MN,Ramsey County,45.08,-93.19
17112,0.8438964318264099,0,3944,27968,14487,38.2,77242,Harrisburg,PA,Dauphin County,40.37,-76.78
37122,0.84381712784133,0,3945,41177,20108,36.7,79266,Mount Juliet,TN,Wilson County,36.2,-86.52
08859,0.8438064214803911,0,3946,17363,8133,34.4,83389,Parlin,NJ,Middlesex County,40.46,-74.3
76002,0.8437671523333156,0,3947,24934,9779,33.8,84821,Arlington,TX,Tarrant County,32.62,-97.09
30087,0.8437614301125509,0,3948,29627,13925,43.8,71833,Stone Mountain,GA,DeKalb County,33.81,-84.13
80117,0.843732761322775,0,3949,2254,1108,32.3,89038,Kiowa,CO,Elbert County,39.34,-104.46
91504,0.8437106198880344,0,3950,21039,9317,41.8,73501,Burbank,CA,Los Angeles County,34.2,-118.33
18045,0.8436786467450357,0,3951,21479,10481,36.1,80110,Easton,PA,Northampton County,40.69,-75.27
21813,0.8436366639064494,0,3952,2211,1023,31.3,92841,Bishopville,MD,Worcester County,38.44,-75.19
60647,0.8435959388127015,0,3953,70057,34251,49.3,68223,Chicago,IL,Cook County,41.92,-87.7
33185,0.8435480375234169,0,3954,24882,8052,35.9,80429,Miami,FL,Miami-Dade County,25.73,-80.45
30188,0.8435305898282738,0,3955,45825,22680,39.9,75205,Woodstock,GA,Cherokee County,34.1,-84.51
44256,0.8435093960161221,0,3956,47485,23713,38.5,76741,Medina,OH,Medina County,41.13,-81.86
89124,0.8434686048549129,0,3957,787,361,32.2,89375,Las Vegas,NV,Clark County,36.16,-115.43
08863,0.8434549644136844,0,3958,10142,4482,32.8,87357,Fords,NJ,Middlesex County,40.54,-74.31
03256,0.8434087429113482,0,3959,1793,857,40,75030,New Hampton,NH,Belknap County,43.6,-71.65
37363,0.8433596962904732,0,3960,29942,13942,38.6,76558,Ooltewah,TN,Hamilton County,35.06,-85.09
08869,0.8432905785092476,0,3961,6196,2899,36.8,78974,Raritan,NJ,Somerset County,40.57,-74.64
95831,0.8432415782341596,0,3962,34578,18502,45.4,70552,Sacramento,CA,Sacramento County,38.49,-121.53
65320,0.8432288573123343,0,3963,37,30,67.6,63077,Arrow Rock,MO,Saline County,39.07,-92.95
44685,0.8431921149945638,0,3964,20913,10350,37.4,78226,Uniontown,OH,Summit County,40.97,-81.4
55014,0.843162047450688,0,3965,21362,9910,33,86576,Circle Pines,MN,Anoka County,45.13,-93.15
96707,0.8431585335554594,0,3966,34399,12889,30,99946,Kapolei,HI,Honolulu County,21.34,-158.08
45068,0.8431307961181055,0,3967,8327,4240,34.8,82418,Waynesville,OH,Warren County,39.53,-84.08
18930,0.8430402907600649,0,3968,2552,1183,33.8,84511,Kintnersville,PA,Bucks County,40.53,-75.21
45111,0.8430248043775612,0,3969,201,112,39,76000,Camp Dennison,OH,Hamilton County,39.2,-84.29
34241,0.8429854316921237,0,3970,12114,5778,41.2,73824,Sarasota,FL,Sarasota County,27.25,-82.38
07424,0.8429525336063198,0,3971,21975,9611,36.5,79302,Little Falls,NJ,Passaic County,40.87,-74.21
77380,0.842915663591331,0,3972,21723,11649,47.9,68839,Spring,TX,Montgomery County,30.14,-95.47
35173,0.8428963808016975,0,3973,19812,9454,35.1,81776,Trussville,AL,Jefferson County,33.63,-86.59
55073,0.8428120872530508,0,3974,2720,1194,32,89737,Scandia,MN,Washington County,45.27,-92.82
02131,0.8427823791353277,0,3975,25893,12480,43.2,72127,Roslindale,MA,Suffolk County,42.28,-71.13
93402,0.8427337067317202,0,3976,12941,6375,42,73158,Los Osos,CA,San Luis Obispo County,35.29,-120.81
43061,0.8426132758252878,0,3977,3209,1531,34.9,82036,Ostrander,OH,Delaware County,40.26,-83.21
10548,0.8425740623917273,0,3978,2885,1289,35.8,80369,Montrose,NY,Westchester County,41.24,-73.94
07003,0.8425614410639393,0,3979,38578,17657,39.9,74961,Bloomfield,NJ,Essex County,40.81,-74.18
80549,0.8425381399993308,0,3980,7515,3622,34.3,83155,Wellington,CO,Larimer County,40.7,-105
02019,0.8424696592256073,0,3981,13218,6347,30.6,95533,Bellingham,MA,Norfolk County,42.09,-71.47
81637,0.8424580146098068,0,3982,6362,2559,31.8,90179,Gypsum,CO,Eagle County,39.64,-106.94
22840,0.8424429621024196,0,3983,3362,1737,42,73063,Mc Gaheysville,VA,Rockingham County,38.36,-78.74
27006,0.8424045276718481,0,3984,11326,5637,38.9,75962,Advance,NC,Davie County,35.93,-80.4
21679,0.8422798556363819,0,3985,316,163,31.3,91991,Wye Mills,MD,Talbot County,38.91,-76.08
12020,0.842259065130896,0,3986,25869,13235,37.9,77157,Ballston Spa,NY,Saratoga County,43,-73.85
03869,0.8421811544765245,0,3987,1958,1020,40,74697,Rollinsford,NH,Strafford County,43.23,-70.82
48808,0.8421693678652382,0,3988,4333,2321,42.6,72534,Bath,MI,Clinton County,42.81,-84.44
01752,0.8420812113491648,0,3989,31438,15529,39.3,75418,Marlborough,MA,Middlesex County,42.34,-71.54
12424,0.8420757346622407,0,3990,226,106,47.9,68750,East Jewett,NY,Greene County,42.25,-74.12
98516,0.8419961042847444,0,3991,17953,9149,39.9,74767,Olympia,WA,Thurston County,47.11,-122.76
77339,0.8419870234762981,0,3992,31813,15918,41.4,73466,Kingwood,TX,Harris County,30.05,-95.22
14059,0.841954645547579,0,3993,8080,4104,39.8,74884,Elma,NY,Erie County,42.83,-78.63
21703,0.8419418915920334,0,3994,25986,12903,37.3,77999,Frederick,MD,Frederick County,39.37,-77.47
11105,0.8418878539285313,0,3995,32018,15227,49,68050,Astoria,NY,Queens County,40.78,-73.91
12084,0.8418803084462729,0,3996,3787,2052,57.4,64868,Guilderland,NY,Albany County,42.69,-73.89
85340,0.8418620847062626,0,3997,22915,10289,33.1,85711,Litchfield Park,AZ,Maricopa County,33.51,-112.36
21662,0.8417956791374832,0,3998,442,216,53.4,66250,Royal Oak,MD,Talbot County,38.71,-76.21
23153,0.8417788314717864,0,3999,1011,558,34.6,82368,Sandy Hook,VA,Goochland County,37.75,-77.91
55443,0.8417552543048812,0,4000,23065,10841,35.6,80392,Minneapolis,MN,Hennepin County,45.12,-93.34
11411,0.8416756623845016,0,4001,16307,6052,32.5,87231,Cambria Heights,NY,Queens County,40.69,-73.73
01531,0.8416524594348644,0,4002,960,425,33.6,84432,New Braintree,MA,Worcester County,42.31,-72.13
06385,0.8416518608844812,0,4003,12803,6407,38.5,76186,Waterford,CT,New London County,41.34,-72.14
22946,0.8416468792095824,0,4004,170,87,43,72019,Keene,VA,Albemarle County,37.86,-78.57
50236,0.8415461107334459,0,4005,1084,615,36.8,78472,Roland,IA,Story County,42.16,-93.5
22810,0.8415403037097706,0,4006,605,284,35.8,80000,Basye,VA,Shenandoah County,38.83,-78.8
93424,0.8414289654447865,0,4007,684,488,37,78182,Avila Beach,CA,San Luis Obispo County,35.19,-120.73
67117,0.8413806485229889,0,4008,1687,706,54.6,65694,North Newton,KS,Harvey County,38.07,-97.34
91701,0.8413419621489658,0,4009,30855,12909,31.9,89067,Rancho Cucamonga,CA,San Bernardino County,34.14,-117.61
91101,0.8413201549953062,0,4010,18156,10510,59.9,64223,Pasadena,CA,Los Angeles County,34.15,-118.14
29715,0.8413104864832681,0,4011,21874,11119,38.8,75756,Fort Mill,SC,York County,35,-80.94
75206,0.8412913599873825,0,4012,33772,20424,63.9,63392,Dallas,TX,Dallas County,32.83,-96.77
55077,0.8412277839743283,0,4013,10279,5091,39.8,74688,Inver Grove Heights,MN,Dakota County,44.82,-93.07
82190,0.8412103574799084,0,4014,842,99,48.3,68342,Yellowstone National Park,WY,Park County,44.57,-110.51
48381,0.8411679141420927,0,4015,10267,5432,42.6,72293,Milford,MI,Oakland County,42.58,-83.6
07660,0.8411635867310939,0,4016,10089,4703,42.7,72191,Ridgefield Park,NJ,Bergen County,40.85,-74.02
95938,0.841139468206378,0,4017,3237,1500,37.6,77206,Durham,CA,Butte County,39.61,-121.77
10926,0.8411224425533481,0,4018,2683,1267,37.2,77813,Harriman,NY,Orange County,41.3,-74.14
30677,0.8410404791112154,0,4019,14263,6734,46.7,69189,Watkinsville,GA,Oconee County,33.86,-83.4
18011,0.8410134876431166,0,4020,4476,2148,36.1,79199,Alburtis,PA,Lehigh County,40.5,-75.6
12524,0.840997335163711,0,4021,13029,5945,36.1,79197,Fishkill,NY,Dutchess County,41.53,-73.89
77068,0.840994057434606,0,4022,8819,3821,35.5,80313,Houston,TX,Harris County,30.01,-95.49
15220,0.8408845118626551,0,4023,14724,7931,48.2,68314,Pittsburgh,PA,Allegheny County,40.42,-80.05
91104,0.8407964071157645,0,4024,30610,13149,42.6,72189,Pasadena,CA,Los Angeles County,34.16,-118.12
02072,0.8406996993160549,0,4025,22871,10724,36.7,78343,Stoughton,MA,Norfolk County,42.11,-71.1
13031,0.8406875424318352,0,4026,12475,6350,42.4,72334,Camillus,NY,Onondaga County,43.03,-76.3
49024,0.8406630442664556,0,4027,22156,11678,49.8,67423,Portage,MI,Kalamazoo County,42.2,-85.59
32951,0.8406371103689185,0,4028,9809,5051,44.6,70575,Melbourne Beach,FL,Brevard County,28.06,-80.55
75126,0.840635847200691,0,4029,28206,12527,31.6,89782,Forney,TX,Kaufman County,32.75,-96.46
80498,0.8406288682213078,0,4030,6364,2421,48.3,68196,Silverthorne,CO,Summit County,39.65,-106.08
90034,0.8406053295115212,0,4031,48098,25725,54.6,65572,Los Angeles,CA,Los Angeles County,34.03,-118.4
44718,0.8405127686702114,0,4032,9465,5061,43.1,71613,Canton,OH,Stark County,40.85,-81.45
52726,0.8404894809176633,0,4033,3820,1866,33.6,83846,Blue Grass,IA,Scott County,41.5,-90.76
15632,0.8403710310455386,0,4034,7220,3847,44.9,70301,Export,PA,Westmoreland County,40.41,-79.62
55426,0.8403675980088892,0,4035,21693,12110,49.6,67467,Minneapolis,MN,Hennepin County,44.96,-93.37
43537,0.8403334697885914,0,4036,21148,11206,42.1,72508,Maumee,OH,Lucas County,41.57,-83.65
13108,0.8403006101599095,0,4037,4734,2436,39.7,74490,Marcellus,NY,Onondaga County,42.98,-76.34
98406,0.840291352843193,0,4038,18852,9713,42.7,71934,Tacoma,WA,Pierce County,47.26,-122.51
03903,0.840243348015544,0,4039,5070,2569,34.2,82587,Eliot,ME,York County,43.15,-70.8
61073,0.8402371322618143,0,4040,14281,7159,33.9,83167,Roscoe,IL,Winnebago County,42.41,-89
07403,0.8402150692203726,0,4041,6363,2834,35.1,80872,Bloomingdale,NJ,Passaic County,41.02,-74.33
03249,0.8401866178612654,0,4042,5701,3082,40.7,73660,Gilford,NH,Belknap County,43.53,-71.38
40022,0.840175512137997,0,4043,762,319,32.6,86250,Finchville,KY,Shelby County,38.15,-85.31
80515,0.8401491852877396,0,4044,924,428,41.9,72622,Drake,CO,Larimer County,40.43,-105.33
79705,0.8401453662008231,0,4045,29613,14061,35.2,80562,Midland,TX,Midland County,32.02,-102.1
94305,0.8401329450472915,0,4046,14173,3318,95.4,61173,Stanford,CA,Santa Clara County,37.41,-122.17
02367,0.8400281267415268,0,4047,2354,1005,32.2,87438,Plympton,MA,Plymouth County,41.95,-70.81
53532,0.8399804773956949,0,4048,10787,5490,36.5,78401,De Forest,WI,Dane County,43.24,-89.34
92596,0.8399798073544549,0,4049,18859,7556,29.9,97713,Winchester,CA,Riverside County,33.63,-117.07
55803,0.839977044359048,0,4050,14048,7204,39.9,74215,Duluth,MN,St. Louis County,47.05,-92.07
